City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ribeira Grande,PT,70.14,clear sky,38.5167,-28.7,
6,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,
9,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,
10,Puerto Ayora,EC,70.43,few clouds,-0.7393,-90.3518,
11,Broken Hill,AU,66.13,overcast clouds,-31.95,141.4333,
13,Bethel,US,71.04,mist,41.3712,-73.414,
23,Rikitea,PF,71.51,clear sky,-23.1203,-134.9692,
24,Cubuk,TR,68.77,clear sky,40.2386,33.0322,
29,Tambura,SS,68.43,overcast clouds,5.6,27.4667,
34,Albany,US,67.37,overcast clouds,42.6001,-73.9662,
44,Port Lincoln,AU,65.23,clear sky,-34.7333,135.8667,
50,Carnarvon,AU,71.67,broken clouds,-24.8667,113.6333,
51,Aklavik,CA,65.1,overcast clouds,68.2191,-135.0107,
53,Jamestown,US,69.39,scattered clouds,42.097,-79.2353,
56,College,US,68.2,broken clouds,64.8569,-147.8028,
59,Amapa,BR,69.94,broken clouds,1.0,-52.0,
78,Flinders,AU,66.2,clear sky,-34.5833,150.8552,
92,Zhigansk,RU,71.96,clear sky,66.7697,123.3711,
101,Katangli,RU,66.49,moderate rain,51.7102,143.2326,
105,Abyek,IR,71.26,clear sky,36.0667,50.55,
110,Soyo,AO,71.94,scattered clouds,-6.1349,12.3689,
111,Mbandaka,CD,69.71,broken clouds,0.0487,18.2603,
124,Oskemen,KZ,69.76,broken clouds,49.9565,82.6119,
130,Guarabira,BR,71.19,overcast clouds,-6.8547,-35.49,
131,Guayape,HN,68.36,overcast clouds,14.7167,-86.8333,
134,Jerez,GT,66.2,overcast clouds,14.1,-89.75,
136,Michigan City,US,72.0,scattered clouds,41.7075,-86.895,
152,Pasinler,TR,65.39,few clouds,39.9803,41.6764,
163,Lagoa,PT,69.44,clear sky,39.05,-27.9833,
170,Armilla,ES,70.34,clear sky,37.141,-3.6185,
174,Nikolskoye,RU,68.02,broken clouds,59.7035,30.7861,
177,Palmer,US,71.15,overcast clouds,42.1584,-72.3287,
181,Bose,IT,70.48,broken clouds,45.4612,8.0137,
187,Guerrero Negro,MX,70.65,scattered clouds,27.9769,-114.0611,
191,Kungurtug,RU,68.13,scattered clouds,50.5994,97.5228,
201,Novo Aripuana,BR,69.58,clear sky,-5.1206,-60.3797,
203,Camopi,GF,70.11,few clouds,3.1655,-52.3158,
207,Caravelas,BR,67.28,overcast clouds,-17.7125,-39.2481,
215,Sitka,US,67.89,scattered clouds,57.0531,-135.33,
216,Dunaszekcso,HU,69.6,clear sky,46.0866,18.7587,
227,Mananara,MG,70.63,moderate rain,-16.1667,49.7667,
228,Valley City,US,68.52,clear sky,46.9233,-98.0032,
236,Vangaindrano,MG,67.89,broken clouds,-23.35,47.6,
239,Teguise,ES,66.42,clear sky,29.0605,-13.564,
246,Jacareacanga,BR,67.75,clear sky,-6.2222,-57.7528,
248,Saint-Philippe,RE,70.21,light rain,-21.3585,55.7679,
259,Khryashchevka,RU,71.58,scattered clouds,53.8119,49.0916,
263,Magdagachi,RU,67.6,overcast clouds,53.45,125.8,
265,Velyka Bahachka,UA,71.28,few clouds,49.7912,33.7226,
287,Ust-Kuyga,RU,70.79,overcast clouds,70.0167,135.6,
288,Price,US,71.4,overcast clouds,39.5994,-110.8107,
296,Alamosa,US,69.31,broken clouds,37.4695,-105.87,
299,Monticello,US,70.95,haze,45.3055,-93.7941,
301,Wau,SS,70.18,overcast clouds,7.7029,27.9953,
322,Cabra,ES,71.65,clear sky,37.4725,-4.4421,
325,Victor Harbor,AU,68.47,broken clouds,-35.5667,138.6167,
326,Labrea,BR,67.12,few clouds,-7.2586,-64.7981,
328,Grand-Santi,GF,72.0,overcast clouds,4.25,-54.3833,
337,Glens Falls,US,66.27,scattered clouds,43.3095,-73.644,
345,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,
350,Colares,PT,65.44,clear sky,38.7992,-9.4469,
354,Zofingen,CH,65.46,few clouds,47.2878,7.9459,
358,Saint-Pierre,RE,70.29,overcast clouds,-21.3393,55.4781,
361,Takestan,IR,65.37,overcast clouds,36.0696,49.6959,
362,Nelson Bay,AU,68.09,clear sky,-32.7167,152.15,
364,Odweyne,SO,70.14,overcast clouds,9.4092,45.064,
373,Nosy Varika,MG,69.94,light rain,-20.5833,48.5333,
377,Lyuban,BY,67.24,clear sky,52.7985,28.0048,
391,Aban,RU,69.01,scattered clouds,56.67,96.06,
393,Requena,ES,65.71,clear sky,39.4883,-1.1004,
395,Sikasso,ML,70.0,light rain,10.9167,-7.0,
447,Port Victoria,KE,70.0,overcast clouds,0.0939,33.9756,
450,Kabalo,CD,70.83,clear sky,-6.05,26.9167,
453,Olinda,BR,71.33,scattered clouds,-8.0089,-34.8553,
458,Bom Jesus,BR,70.54,clear sky,-9.0744,-44.3586,
471,Shaunavon,CA,69.96,scattered clouds,49.6501,-108.4181,
480,Onguday,RU,69.15,broken clouds,50.75,86.15,
485,Tupik,RU,68.85,clear sky,54.4253,119.9327,
486,Macas,EC,66.42,moderate rain,-2.3167,-78.1167,
491,Silveira,PT,65.37,few clouds,39.1112,-9.3643,
495,Torit,SS,70.43,overcast clouds,4.4133,32.5678,
497,Ampanihy,MG,67.68,clear sky,-24.7,44.75,
501,Bon Accord,CA,69.24,broken clouds,53.8335,-113.4187,
504,Tucano,BR,65.17,few clouds,-10.9631,-38.7867,
512,Nouadhibou,MR,68.4,broken clouds,20.931,-17.0347,
516,Ilawe,NG,69.82,overcast clouds,7.8667,4.4333,
522,Kishi,NG,70.14,overcast clouds,9.0833,3.85,
537,Fairbanks,US,68.22,broken clouds,64.8378,-147.7164,
542,Ripoll,ES,70.16,clear sky,42.2006,2.1903,
566,Beloha,MG,67.5,clear sky,-25.1667,45.05,
569,General Cepeda,MX,65.61,broken clouds,25.3833,-101.45,
571,Byron Bay,AU,69.91,clear sky,-28.65,153.6167,
581,Volkhov,RU,65.39,scattered clouds,59.9258,32.3382,
582,Nantucket,US,69.91,overcast clouds,41.2835,-70.0995,
583,Bouake,CI,68.83,overcast clouds,7.6895,-5.0218,
589,Conceicao Do Araguaia,BR,68.23,clear sky,-8.2578,-49.2647,
599,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,
604,Juneau,US,66.2,few clouds,58.3019,-134.4197,
607,Tulun,RU,68.81,overcast clouds,54.5611,100.5792,
613,Wilhelmsburg,AT,71.58,clear sky,48.1057,15.6054,
617,Praia Da Vitoria,PT,71.76,few clouds,38.7333,-27.0667,
627,Broome,US,66.7,overcast clouds,42.2506,-75.833,
630,Tinskoy,RU,70.43,broken clouds,56.1525,96.9161,
635,Henties Bay,,65.32,clear sky,-22.116,14.2845,
636,Oktyabrskoye,RU,69.94,clear sky,43.0645,44.7417,
641,La Maddalena,IT,66.25,clear sky,41.2142,9.4083,
643,Luanda,AO,69.8,broken clouds,-8.8368,13.2343,
653,Severnyy,RU,71.64,clear sky,50.677,36.5532,
663,Cserkeszolo,HU,71.94,clear sky,46.8632,20.187,
666,Sechura,PE,67.66,overcast clouds,-5.5569,-80.8222,
670,Arrifes,PT,68.25,scattered clouds,37.7667,-25.7,
676,Kuytun,RU,66.25,overcast clouds,54.3419,101.5036,
681,Pacific Grove,US,66.81,overcast clouds,36.6177,-121.9166,
686,Bitkine,TD,70.63,light rain,11.9801,18.2138,
691,Hakkari,TR,65.98,scattered clouds,37.5833,44.1667,
